"Created at:","Aug 10, 2025"
"Applied Filters:"
"Area Median Income","0 - 30%; 30 - 60%; 60 - 80%; 80 - 100%; 100 - 150%; 150%+"
"Building Age","Before 1940; 1940 - 59; 1960 - 79; 1980 - 99; 2000 - 19; 2020+"
"Heating Fuel Type","Utility Gas; Bottled Gas; Electricity; Fuel Oil; Coal; Wood; Solar; Other; None"
"Building Type","1 unit detached; 1 unit attached; 2 units; 3 - 4 units; 5 - 9 units; 10 - 19 units; 20 - 49 units; 50+ units; Boat/RV/Van; Mobile/Trailer"
Rent/Own,"Renter-occupied; Owner-occupied"

"Geography ID",Name,State,County,"Energy Burden (% income)","Energy Burden (% income) (Electricity)","Energy Burden (% income) (Gas)","Energy Burden (% income) (Other)","Avg. Annual Energy Cost ($)","Avg. Annual Energy Cost ($) (Electricity)","Avg. Annual Energy Cost ($) (Gas)","Avg. Annual Energy Cost ($) (Other)","Total Households","Household Income","Black/ African American (% pop.)","American Indian/ Native Alaskan (% pop.)","Asian (% pop.)","Native Hawaiian/ Other Pacific Islander (% pop.)","White Hispanic or Latino (% pop.)","White Non-Hispanic or Latino (% pop.)","Two or More Races (% pop.)","Other Races (% pop.)","Less Than High School (% pop.)","High School (% pop.)","Associates or Some College (% pop.)","Bachelors or Higher (% pop.)"
24001000100,"Census Tract 1, Allegany County",Maryland,"Allegany County",4,2,0,1,2660,1405,284,971,1577,68761,0,0,0,0,0,98,1,1,6,48,27,19
24001000200,"Census Tract 2, Allegany County",Maryland,"Allegany County",3,2,0,1,2529,1371,364,794,1390,81769,19,0,0,0,2,75,3,0,11,45,27,17
24001000500,"Census Tract 5, Allegany County",Maryland,"Allegany County",3,2,1,0,2300,1286,819,195,683,66664,20,0,1,0,1,66,10,2,6,38,40,16
24001000600,"Census Tract 6, Allegany County",Maryland,"Allegany County",4,2,2,0,2398,1149,967,282,1374,61775,2,0,0,0,1,91,6,0,5,36,35,24
24001000700,"Census Tract 7, Allegany County",Maryland,"Allegany County",4,2,2,0,2144,1089,972,83,1462,51764,2,0,0,0,1,93,4,0,13,35,37,15
24001000800,"Census Tract 8, Allegany County",Maryland,"Allegany County",5,3,2,0,2849,1738,1010,101,786,55329,1,0,1,0,6,89,3,0,13,44,31,12
24001001000,"Census Tract 10, Allegany County",Maryland,"Allegany County",5,2,2,0,2100,938,1020,142,1025,43077,4,0,0,0,0,91,5,0,14,32,33,21
24001001100,"Census Tract 11, Allegany County",Maryland,"Allegany County",3,2,1,0,2179,1087,955,137,690,72349,4,0,1,0,0,89,6,0,6,30,20,43
24001001200,"Census Tract 12, Allegany County",Maryland,"Allegany County",2,1,1,0,2561,1275,1127,159,1270,134228,1,0,3,0,1,90,5,0,3,13,34,51
24001001300,"Census Tract 13, Allegany County",Maryland,"Allegany County",3,2,1,0,2287,1283,898,106,1018,75559,44,1,0,0,2,49,4,0,0,29,57,13
24001001401,"Census Tract 14.01, Allegany County",Maryland,"Allegany County",3,1,1,0,2492,1334,863,295,1603,99217,1,0,2,0,2,88,6,1,5,29,28,38
24001001402,"Census Tract 14.02, Allegany County",Maryland,"Allegany County",3,2,1,0,2433,1297,917,219,755,80580,3,0,1,0,1,92,3,0,4,24,33,39
24001001502,"Census Tract 15.02, Allegany County",Maryland,"Allegany County",3,2,1,1,2655,1299,692,664,871,80424,0,0,0,0,0,96,4,0,9,35,38,18
24001001503,"Census Tract 15.03, Allegany County",Maryland,"Allegany County",4,2,1,1,2981,1297,611,1073,737,73107,0,0,0,0,0,96,3,0,9,53,21,17
24001001600,"Census Tract 16, Allegany County",Maryland,"Allegany County",3,2,1,1,2463,1263,702,498,628,75622,1,0,3,0,2,92,2,0,4,27,25,43
24001001700,"Census Tract 17, Allegany County",Maryland,"Allegany County",3,2,1,0,2291,1241,876,174,1553,69420,3,0,2,0,1,91,2,1,5,37,30,28
24001001800,"Census Tract 18, Allegany County",Maryland,"Allegany County",4,2,1,0,2296,1397,721,178,1301,63427,19,0,3,0,2,72,3,1,6,17,43,35
24001001900,"Census Tract 19, Allegany County",Maryland,"Allegany County",3,1,1,1,2980,1283,821,876,1096,96843,0,0,0,0,0,97,2,0,6,39,31,24
24001002000,"Census Tract 20, Allegany County",Maryland,"Allegany County",3,2,1,0,2316,1277,701,338,2442,72300,0,0,1,0,0,97,1,0,12,42,28,17
24001002100,"Census Tract 21, Allegany County",Maryland,"Allegany County",4,2,1,1,2664,1447,764,453,1207,66617,0,0,1,0,0,95,3,0,7,49,31,14
24001002200,"Census Tract 22, Allegany County",Maryland,"Allegany County",3,2,1,0,2435,1312,793,330,1494,73222,1,0,0,0,1,98,1,0,8,42,35,15
24001002300,"Census Tract 23, Allegany County",Maryland,"Allegany County",3,2,1,0,2352,1280,765,307,2500,71488,2,0,0,0,1,92,5,0,6,39,43,12
24003701101,"Census Tract 7011.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2991,2109,490,392,800,212657,5,0,0,0,2,86,6,0,2,12,21,65
24003701103,"Census Tract 7011.03, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,2639,1973,188,478,840,126230,5,0,0,0,12,81,2,0,12,26,35,28
24003701104,"Census Tract 7011.04, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2982,2016,655,311,621,183309,6,0,1,0,2,87,3,1,2,19,25,54
24003701201,"Census Tract 7012.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3038,2137,383,518,780,205207,1,0,1,0,2,93,3,0,2,13,40,44
24003701202,"Census Tract 7012.02, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3397,2450,437,510,1046,186783,2,0,1,0,0,89,8,0,8,28,25,39
24003701301,"Census Tract 7013.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3658,2230,684,744,802,245110,3,0,0,0,1,89,2,3,3,13,24,60
24003701302,"Census Tract 7013.02, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3312,2154,452,706,660,209288,12,0,1,0,1,83,3,0,7,23,18,52
24003701400,"Census Tract 7014, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3034,1994,421,619,712,226053,13,0,1,0,5,76,5,0,5,20,27,48
24003702100,"Census Tract 7021, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3378,2319,328,731,1138,208525,8,0,1,0,2,83,5,2,3,18,25,54
24003702204,"Census Tract 7022.04, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2800,1714,1001,85,1602,168269,4,0,4,0,4,76,11,2,0,7,22,71
24003702205,"Census Tract 7022.05, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2193,1437,746,10,2268,138216,29,0,5,0,1,57,7,2,1,9,27,63
24003702206,"Census Tract 7022.06, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2243,1665,524,54,2449,152831,10,0,6,0,10,60,10,3,2,10,26,61
24003702208,"Census Tract 7022.08, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2480,1681,735,64,2833,172294,23,0,17,0,3,49,4,3,2,8,21,69
24003702209,"Census Tract 7022.09, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2713,1793,897,23,1315,187911,5,0,9,0,1,81,4,1,2,11,20,66
24003702300,"Census Tract 7023, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3366,2243,666,457,1025,221832,1,0,1,0,3,92,1,2,1,23,20,56
24003702402,"Census Tract 7024.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,1583,1197,315,71,2422,149778,3,0,4,0,3,82,4,4,0,10,17,73
24003702500,"Census Tract 7025, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2310,1839,249,222,1335,134064,40,0,5,0,18,31,2,5,13,16,22,49
24003702601,"Census Tract 7026.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2936,2113,359,464,982,197908,11,0,0,0,1,81,4,3,2,8,31,59
24003702602,"Census Tract 7026.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3013,2120,442,451,1166,234662,11,0,1,0,1,83,3,2,1,6,18,75
24003702702,"Census Tract 7027.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3147,2127,543,477,677,213948,2,0,3,0,0,90,5,1,0,6,19,75
24003702703,"Census Tract 7027.03, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2128,1470,622,36,537,168171,15,0,3,0,1,78,2,1,2,5,22,71
24003702704,"Census Tract 7027.04, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,1280,1130,146,4,1059,124122,11,0,6,0,6,72,2,3,6,11,19,64
24003706102,"Census Tract 7061.02, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,1928,1499,417,12,636,94024,25,0,3,0,0,65,6,0,8,10,23,59
24003706103,"Census Tract 7061.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2014,1293,703,18,483,87719,15,1,3,0,3,73,3,2,3,7,21,69
24003706302,"Census Tract 7063.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,1739,1185,468,86,1160,136422,5,0,2,0,0,88,1,3,2,5,19,74
24003706303,"Census Tract 7063.03, Anne Arundel County",Maryland,"Anne Arundel County",3,2,0,0,2171,1774,226,171,665,73981,45,0,3,0,0,32,21,0,6,14,27,53
24003706304,"Census Tract 7063.04, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,1565,1319,165,81,738,65992,12,1,7,0,5,72,3,1,2,17,31,50
24003706402,"Census Tract 7064.02, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2204,1619,536,49,919,108217,27,0,0,0,2,55,12,4,5,24,17,54
24003706403,"Census Tract 7064.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2183,1708,346,129,830,128137,13,0,0,0,7,33,3,43,17,14,31,39
24003706404,"Census Tract 7064.04, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,2025,1689,191,145,648,92828,17,0,1,0,0,31,4,47,26,10,21,42
24003706500,"Census Tract 7065, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2164,1627,402,135,1465,144308,16,0,0,0,0,65,9,8,5,14,15,65
24003706600,"Census Tract 7066, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2629,1807,515,307,1282,161550,12,0,5,0,7,73,2,1,8,8,26,59
24003706700,"Census Tract 7067, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,1835,1300,507,28,185,108302,12,1,4,0,9,62,10,2,5,6,49,40
24003707001,"Census Tract 7070.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2986,2242,246,498,1081,202884,8,0,1,0,0,86,3,1,1,24,33,42
24003707002,"Census Tract 7070.02, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2892,2164,314,414,950,185884,5,0,1,0,2,84,9,0,3,29,23,45
24003708001,"Census Tract 7080.01, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3672,2664,481,527,725,213081,2,0,1,0,1,95,1,1,2,18,34,46
24003708004,"Census Tract 7080.04, Anne Arundel County",Maryland,"Anne Arundel County",2,2,1,0,3867,2404,985,478,1208,158992,13,0,0,0,4,58,8,17,21,29,27,23
24003730101,"Census Tract 7301.01, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2547,1785,354,408,815,129492,2,0,0,0,3,94,0,0,19,33,19,29
24003730102,"Census Tract 7301.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2013,1520,416,77,4366,138177,27,0,6,0,4,51,8,5,3,20,27,50
24003730204,"Census Tract 7302.04, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2536,1671,740,125,2583,140733,37,0,2,0,3,41,13,4,8,28,30,35
24003730205,"Census Tract 7302.05, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,1200,883,310,7,1196,62256,22,0,14,0,2,57,5,0,12,21,36,31
24003730206,"Census Tract 7302.06, Anne Arundel County",Maryland,"Anne Arundel County",3,2,0,1,2594,1563,390,641,1550,82825,20,0,0,0,1,61,4,14,9,28,25,37
24003730300,"Census Tract 7303, Anne Arundel County",Maryland,"Anne Arundel County",2,2,1,0,3027,1848,697,482,1193,122192,8,5,5,0,3,60,11,6,12,26,45,17
24003730401,"Census Tract 7304.01, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2773,1666,645,462,2189,115411,16,0,10,0,4,55,11,4,8,35,31,26
24003730403,"Census Tract 7304.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2021,1376,616,29,1589,108287,36,1,1,0,1,46,8,7,8,21,24,47
24003730404,"Census Tract 7304.04, Anne Arundel County",Maryland,"Anne Arundel County",3,2,1,0,2507,1567,825,115,771,78703,13,0,2,0,4,73,4,4,22,20,24,34
24003730507,"Census Tract 7305.07, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3002,1889,826,287,1592,188675,17,0,12,0,1,58,12,0,4,20,36,40
24003730508,"Census Tract 7305.08, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,1634,1146,480,8,935,78578,52,0,0,0,0,42,6,0,4,39,39,18
24003730509,"Census Tract 7305.09, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2179,1696,420,63,1793,152392,20,0,4,0,1,63,11,1,0,12,38,50
24003730510,"Census Tract 7305.10, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,2230,1676,395,159,1204,117212,40,0,3,0,0,48,4,6,1,25,39,35
24003730511,"Census Tract 7305.11, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,1169,916,205,48,739,49768,76,0,2,0,0,13,5,4,2,32,50,16
24003730512,"Census Tract 7305.12, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,1521,1135,378,8,979,84379,42,2,3,0,0,43,6,4,7,23,42,28
24003730513,"Census Tract 7305.13, Anne Arundel County",Maryland,"Anne Arundel County",2,1,1,0,2036,1386,544,106,695,106717,42,0,1,0,1,46,9,2,11,20,38,31
24003730514,"Census Tract 7305.14, Anne Arundel County",Maryland,"Anne Arundel County",2,2,0,0,1306,1036,269,1,1432,61067,37,0,11,0,4,29,4,15,9,26,28,37
24003730601,"Census Tract 7306.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3138,1975,756,407,2353,229523,0,0,5,0,1,91,3,0,3,13,17,68
24003730603,"Census Tract 7306.03, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3128,2046,597,485,1071,197963,7,0,6,0,2,81,3,1,4,29,17,49
24003730605,"Census Tract 7306.05, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2772,1911,837,24,1160,186428,12,0,4,0,0,81,3,0,2,27,14,57
24003730606,"Census Tract 7306.06, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3088,1993,845,250,1684,220561,1,0,0,0,2,84,10,4,5,6,13,75
24003730701,"Census Tract 7307.01, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2724,1766,641,317,1033,199912,8,0,6,0,0,81,5,0,6,15,16,63
24003730702,"Census Tract 7307.02, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,2894,1851,634,409,1598,199980,0,0,2,0,1,92,6,0,2,11,20,67
24003730800,"Census Tract 7308, Anne Arundel County",Maryland,"Anne Arundel County",1,1,0,0,3405,2076,945,384,915,232147,1,0,12,0,2,82,3,0,0,4,21,74
24003730901,"Census Tract 7309.01, Anne Arundel County",Maryland,"Anne Arundel County",2,1,0,0,3021,1989,616,416,1060,192610,5,0,1,0,6,75,10,3,0,7,18,75
