"period","seriesId","seriesDescription","unit","DC_value","MD_value","VA_value"
"2023","PACCD","All petroleum products average price in the commercial sector","Dollars per million Btu",26.19,25.61,22.97
"2023","PAEID","All petroleum products average price in the electric power sector","Dollars per million Btu",0,20.82,19.7
"2023","PAICD","All petroleum products average price in the industrial sector","Dollars per million Btu",19.24,24.41,23.03
"2023","PARCD","All petroleum products average price in the residential sector","Dollars per million Btu",29.54,30.79,31.68
"2023","PAACD","All petroleum products average price in the transportation sector","Dollars per million Btu",31.08,29.11,26.51
"2023","PATXD","All petroleum products average price, all end-use sectors","Dollars per million Btu",29.01,28.76,26.33
"2023","PATCD","All petroleum products average price, all sectors","Dollars per million Btu",29.01,28.74,26.32
"2023","PACCB","All petroleum products consumed by the commercial sector","Billion Btu",989,19006,27321
"2023","PACCP","All petroleum products consumed by the commercial sector","Thousand barrels",182,3756,5636
"2023","PAEIB","All petroleum products consumed by the electric power sector","Billion Btu",0,1108,1278
"2023","PAEIP","All petroleum products consumed by the electric power sector","Thousand barrels",0,184,222
"2023","PAICP","All petroleum products consumed by the industrial sector","Thousand barrels",422,4613,8909
"2023","PAICB","All petroleum products consumed by the industrial sector","Billion Btu",2698,26706,52030
"2023","PAISB","All petroleum products consumed by the industrial sector excluding process fuel and intermediate products","Billion Btu",2698,26706,52030
"2023","PARCB","All petroleum products consumed by the residential sector","Billion Btu",610,19527,23720
"2023","PARCP","All petroleum products consumed by the residential sector","Thousand barrels",109,3893,5110
"2023","PAACB","All petroleum products consumed by the transportation sector","Billion Btu",13964,387070,743002
"2023","PAACP","All petroleum products consumed by the transportation sector","Thousand barrels",2707,74220,140841
"2023","PAASB","All petroleum products consumed by the transportation sector excluding other biofuels product supplied for the United States","Billion Btu",13964,387070,743002
"2023","PATCP","All petroleum products total consumption","Thousand barrels",3420,86666,160717
"2023","PATCB","All petroleum products total consumption","Billion Btu",18262,453417,847351
"2023","PASCB","All petroleum products total consumption adjusted for process fuel and intermediate products","Billion Btu",18262,453417,847350
